context,emotion
 发现  花滑 创造 历史   希望 意大利 冬奥 前天 降 紫微星 ,0
丁程鑫 迎贺 燃情 冰雪 之约 冬奥 圆满,1
天天 太棒了  冬奥 真的  渐入佳境 ,1
美国 海外 生活 冬奥 村  吃  免费大餐  打包   冬奥 村    L 美国 每日 事儿  微博 视频,0
冰雪 辽宁 喜迎 冬奥 外国 运动员 称赞 中国 场馆 冰面 特别 棒打 脸 韩国 媒体 L 外国 运动员 称赞 中国 场馆 冰面 特别 棒,1
四年 前    投  冬奥 志愿者 想着 做  志愿者    北京   一眼  疫情 反复   如愿 希望      国家    愿望    好运,0
渣浪别  乱搞 冬奥 选手 热度   争端   莫名其妙  rs 搞  ,-1
豫见 新一代 奋进 新 征程     河南 抗疫 加油 冬奥 盛典 开幕 无数 优秀 志愿 青年  志愿 冬奥 活动  展开 培训  活动 这是 志愿者   这是 优秀 志愿 青年  伟大 贡献 这是   榜样 这是   模范  世界各地  优秀青年  展现出  优秀    刻苦 努力  世界 展现  中国 力量 中国 青年 志愿者  奉献 奋进 新 征程    努力  奥运 加油  奥运健儿 鼓励,1
刘雨昕 冬奥 如约   吃  垃圾 看东 奥 ,0
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 享受 比赛 创造    辉煌  肖战   中国 健儿  加油 肖战 手绘 雪容融 肖战 晒 汤圆 祝  元宵节 快乐 雪容融 画  太 可爱 ,1
肖战 晒 汤圆 祝  元宵节 快乐 这是 演员 肖战  这是 岁  肖 春生 ,0
昨天晚上 捏   冰墩 墩  去年 九月份 买  黏土 捏  几个 水母  赶时髦 买  羊毛毡  黏土   闲置 冬奥  冰墩 墩  炒  火热     想 拥有  慢慢 变淡 闲置  黏土 羊毛毡     派上用场 三坚 黏土 放硬  第一次 捏  好看  发给你   黏土 软化剂     捏  好看  冰墩 墩 雪 融融 发给你  ,0
北京 年 冬奥会   火炬 网络 护跑 手    火炬 网络 护跑 队伍  北京 冬奥 加油 助力      网络 护跑 手 陪伴 火炬 迎 冬奥 点击 前往   火炬 网络 护跑 手,1
周深 加盟 星运 电台 冬奥 季 当初  盛名       诋毁  离开 I mYours,0
冬奥 倒计时 天 冰雪 变装 祝福 距离 北京 冬奥会 开幕  天 腾讯 冬奥 报道 雪舞 大使,0
冬奥 主播  冰墩 墩 拿捏 住  冰墩 墩 真的   难求  想要 看着  可爱  想要    慢点  抢 太快 冰墩 墩,-1
 完 男单 花滑 感觉   完 冬奥      期待 米兰 冬奥   希望  时  疫情 观众  现场   运动员  欢呼 鼓 劲儿   我会   学会 意大利语  ,0
阴阳师 手游 冬奥 吉祥物 雪女,0
 不用 担心 奥运 赛事  冷场 体育  伴随  体育  民族主义 爱国主义 英雄主义 永远  唤醒  热血 情怀  切入点    平台 机构  组织 流量 明星 宣传 冬奥 估计   冬奥  全球 疫情    时期 达 不到 盛事 效果 没想到 奥运  奥运 连冰墩 墩  顶流    流量 小生 小花 忙 不叠地 蹭 体育 名星 流量  世界 顶流谷 爱凌带    身份 争议  横空出世       体育赛事 热血沸腾  年龄   精彩 剧情    围观   运动员 裁判  国家 组织 全世界 网友   表演   设计 专业人士 诟病  冰墩 墩  值得 写 一篇 论冰墩 墩  顶流  必然性  偶然性 博士 ,0
龚俊 冬奥 播报  专业,1
 中国 冬奥 健儿 加油 虎年 闹元宵,0
央视 解说 陈滢  惊天地泣鬼神  傻 b   爱   不惜   g 家  苦难  花痴  说   文化 就别 承认   这句 话  出处 北京 冬奥 带来    帅哥美女  公正  裁判 黑鸡 心眼  棒子  一堆 汉 j 鬼,-1
冬天  人间仙境 新疆 喀纳斯 清晨 伴着 缭绕  雾气 美丽  喀纳斯  揭开  神秘 面纱 冬天  喀纳斯湖  冰雪 覆盖 仿若 仙境 雾凇 连绵 雪山 潺潺 溪流   一幅 水墨画 简单  纯白 色彩   几分 寂静 美到 令人惊叹 喀纳斯  一山 二湖 三湾 四迷 一山  阿尔泰山 友谊峰 二湖  喀纳斯湖  白湖 三湾  卧龙 湾 月亮 湾 神仙 湾 四迷  喀纳斯 湖怪 之迷 千米 枯木 长堤 之迷 白湖 之迷  图瓦  来历 之迷  打卡 景点 推荐 神仙 湾 卧龙 湾 月亮 湾  三个 湾 距离  不算  远  适合 停下 脚步 慢慢 赏景 拍照   新疆 迎 冬奥 达 西游 万人 说 新疆  旅行   微博去 旅,1
心动 古巷 缘来   相亲 灯谜   时间 月 日 活动 对象 海陵区 单身男女 职工 活动 地点 海陵区 税 东街 区 政协 东侧 钟楼 巷 入口处 徜徉 人间烟火 感受 古韵 悠长 猜 冬奥 主题 灯谜 赢 精美 礼品 寻找   意中人,0
 无烟 冬奥 点赞 无烟 北京    反超 美国 O 今晚 点 闭幕  故事     O 反超 美国 今晚 点 闭幕  故事    ,0
冬奥 汽车 机器人 火炬手  首次 揭秘 激情 冬奥会   未来 汽车 机器人 传递 火炬 猎豹 摄像机 记录 奥运健儿 最美 瞬间 精彩  冬奥 盛会 背后  科技 创新  助力   中国 制造  黑 科技 L  湖南  微博 视频,1
北京 冬奥 立春 开幕    通知   现场   疫情  太太 太太 烦人  今晚 电视  期待 ,-1
 中国 冬奥 健儿 加油 虎年 闹元宵,1
 说 美国 不在乎 国籍   美国 官方 媒体 美国之音   批评 谷爱凌  中国队 有悖 奥运 精神  冬奥 健儿 加油 谷爱凌  众人 求 合影,-1
去年  奥运 讨厌  日本   冬奥 讨厌 棒子   垃圾 国家,-1
   爸  冬奥  同传 碰到 法语   听得懂 一半  样子   嫌弃 垃圾,-1
三里屯 成 北京 冬奥 网红 打卡    北京 潮流 中心   三里屯  冬奥 期间  成  著名  网红 打卡  不论是 潮流  传统 不论是 美食  潮玩  应有尽有 欢迎 五湖四海  朋友  北京 三里屯 逛 吃 逛 吃 北京  未来,1
  北京 冬奥会  魅力 年前 夏季 奥运会  想  世界  中国 年  冬季 奥运会  告诉 世界   中国 感谢 年里 科技  进步  参与 北京 冬奥  各国 运动员    中国  网络    所闻所见 告诉  国家  世界  人民 中国  精彩 中国 人民  热情 疫情 肆虐  北京 冬奥  精彩  期间 展示   温馨 感人  故事会 温暖    角落 温暖 人心 北京 再见 Togetherforlo,1
北京 冬奥 闭幕式 鸟巢 现场 运动员 快回 位子 不行   不听话 回去 哈哈哈,0
广西 百色 多地 开放 接收 社会 捐赠 渠道  几天   关注 冬奥    关注 疫情      ,-1
北京 冬奥 中国队 已获 块 奖牌 越来越    ,1
北京 冬奥 闭幕式 鸟巢 现场 美国  帽子 质量 太 差  静电 炸毛  肯定  新疆 长绒棉 ,-1
冬奥 这一 结束 感觉  回到  现实 世界,0
迎来 立春 喜逢 冬奥 雨水 萌动 春来 冬去 万物 待生 愿 疫情 早日 离去 愿 全国 人民 平安,1
 下雨  降温 真的 足足   两天  雨 一刻   停  宅   冬奥 闭幕式 两天   出门  九点半  扔 垃圾 冻死  明天 出门 上班 真  明智  选择,-1
距离 年 北京 冬奥会  开幕式  很近  今天上午   网上  小米 公司 董事长  雷军 参与  冬奥会  圣火 传递 工作  手持 火炬 笑容满面   身上 焕发  积极向上 阳光 朝气    国家  企业家    雷总 平时  国家  疫情  灾情    积极 捐款  冬奥 火炬手  实至名归  款 帽子   ,1
广西 百色市 急需 口罩  防疫 物资 冬奥 重要 疫情   重要   百色 一点 热度 ,0
冬奥 赛场 EIEI 二杀  说 实火,1
北京 冬奥会   冬奥 现场  小时,0
冬奥 开  家门口   裁判 瞎 评分  垃圾 裁判 垃圾 评分  说   喜欢  竞速 类 项目 起码 裁判 干预  少,-1
韩国  说 北京 冬奥会  冰面 不行  场地 平整     选手 出局 真的  冬奥 百 人大 咖团 北京 冬奥会 吸睛 制作  计划 视频 制作 人出 道 计划 欢乐 幸 虎年 L 搞笑 磊磊  微博 视频,-1
 中国 冬奥 健儿 加油,1
冬奥 时刻 丨 一张 图看 大国 外交 日程 O 冬奥 时刻 丨 一张 图看 大国 外交 日程,0
百余名 中外记者 探访 故宫 开年 大展 走进 冬奥 火种 台 创意 灵感 触发  O 百余名 中外记者 探访 故宫 开年 大展 走进 冬奥 火种 台 创意 灵感 触发 ,0
  开心  三件 事 黄色  蕙兰  花语  万事如意 在家  冬奥 二十四节气 倒计时 太美  爸妈  沙发 上困  不行 东倒西歪 绣球花 试着  灯光 拍   好玩,1
事到如今 想想 冬奥 开幕式  那句 together  令人 唏嘘 ,-1
冬奥 官方 店冰墩 墩 卖光    犹豫  一分钟  没货  这件 事,-1
 疫情 国家  花    情况    修建   冰雪 场地 筹备 冬奥 真的 感觉 容易,1
冬奥  事  算是  看清  韩国  国家  反中 情绪     最高点   Kpop 粉 真的  看清  喜欢  喜欢  花钱   真的  三思 说实话   真的 相信   国家   反中 情绪 中 idol   影响   喜欢 中国  喜欢   喜欢 中国  钱     花钱买 一堆 纸   估计  暗暗 得意 退坑 时 百分之八十   掉 回  真的  美美,-1
王 濛 冬奥会 越想 越气  冬奥 一点 关系   奥运会 选手      王 濛 不行 好几年 前   有名  点火   分   鬼  鬼  鬼 开幕式   很大 气到  倒 显得 小气 ,-1
位 冬奥 四届 元老 联手 出战 救命 飞  太 牛 ,1
刚看 央视 报道 冬奥 相关 预热 开幕 听到 世界 期待 中国 中国 做好   这句    激动  真的   骄傲,1
北京 冬奥会 闭幕式 这么回事  听到 送别  首歌   想 哭 冬奥 再见  希望 世界 永远 和平  疫情  快快 结束    梦想     考上 心仪  学校,1
肖战 晒 汤圆 祝  元宵节 快乐 xz 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战及  今儿 元宵 佳节 快乐,1
冬奥 项目    跳台 滑雪 Skijumping   滑雪板  工具  专设  跳台 上以   体重  助 滑坡 获得  速度  跳跃 距离  动作 姿势  一种 雪  竞技 项目   滑雪运动   独立 分支  国际 体育 分类学   列为 滑雪运动 跳台 滑雪 起源于 世纪  挪威 年 跳台 滑雪  列为 冬奥会 项目 年 国际 滑雪 联合会   标准 坡度   坡度    改为  年 吉林市 成立  跳台 滑雪 队 年 中国 国内   首次 跳台 滑雪 比赛 年 中国 跳台 滑雪 队 获得 赞助  常年  奥地利 训练 自由式 滑雪  组织 机构  国际 滑雪 联合会 总部 设在 瑞士 首都 伯尔尼 中国  组织 机构  中国 滑雪 协会 总部 设在 北,0
余 景天 新 歌 冬奥 气氛 担当 余 景天 御风 飞行 听到  事 明明 不相干     心中 拐 好几个 弯 想到  爱    宝贝,1
周深献声 致敬 冬奥 本届 冬奥  结束   奥运 精神 永存   北京 冬奥   疫情 防控  艰难 条件    带来  体育 盛宴  说 圆满完成,1
中国队 冬奥 开幕式 战服 亮相 美国  日本    满多 ,0
龚俊 GJ 龚俊 冬奥 播报 下午   俊俊 世间 喧嚣 浮躁 遇此 一人 始终  少年 般  热爱  理想 并行 少年 平庸 少年  发光 龚俊,1
美国 冬奥 代表团 入场 人数 庞大 美国 冬奥 代表团 入场  浩浩荡荡  架势 王牌  上线 逐梦 北京 冬奥,0
美国 女 运动员  冬奥 村 吃   饺子 O 美国 女 运动员  冬奥 村 吃   饺子,0
冬奥 美国    哈哈,-1
 国内外 发生  事情  冬奥  疫情  想 说 格局  打开,0
冬奥 美国  参加  抵制     多人 乌央 乌央   你家  ,-1
冬奥 欢乐 观赛 团 翻 垃圾  后果 L 娱虾 蟹  微博 视频,0
上天 猫 买 冬奥 定制 款 美国  加拿大  太 喜欢  快给我 链接,1
     冬奥 徐梦桃 第一 跳  拉   分 差距   两位  失误 金牌  稳 ,0
联播  运动员  中心 跟着 总书记 共襄 冬奥 盛会 联播 新冠 肺炎 疫情 暴发  北京 冬奥会  首个  举办  全球 综合性 体育 盛会  全球 疫情 稳定  防控 形势   冬奥会 面临  挑战 O 联播  运动员  中心 跟着 总书记 共襄 冬奥 盛会,0
晚上 冬奥 开幕  电影   回头 看个 回放  丑  不看  x,0
 得知 北京  张家口  举办 冬奥会   掐指一算   毕业 四年    能力  父母  转一转   现场 观赛      冬奥 闭幕 多年 前  美好 设想    疫情  能力 不足   种种   庆幸  种种 总        能力   北京 年 冬奥会,0
国际奥委会 点赞 北京 冬奥 智慧 票务 奥运 史上 首个 数字化 智慧 票务 系统     做   特别 容易    首个 数字 发票 系统       科技  强大     祖国 点赞 L 凤凰网  微博 视频,1
  几分钟 北京 冬奥 开幕式   直播 现场 看着 各国 政要 陆续 抵达 开幕 现场 身为 中国    一种 民族 自豪感   冬奥  美国 为首  西方 国家 捣蛋    感觉 充满 荆棘   相信   开幕式 依然   冬奥 有史以来  精彩  开幕式  无论是 冬季 奥运  夏季 奥运   希望 借由 运动 赛事 换取 一丝丝 和平     西方 国家 为首  特定 政客      机会   展现 意识形态  舞台 企图 破坏  一场  疫情 期间   举办  运动 赛事 全世界  疫情  蹂躏  压抑 太久    一场 激励 人心  比赛    感受  失去 久  激情 希望  眼里  选举  政客  明白    冬奥   北京  冬奥    运动员  冬奥 更是 全世界 人民  冬奥     资格 利用 这场 赛事  创造    利益 中国 加油 运动员 加油 相信 胜利  荣光   认真  ,1
布庶  冬奥 北京 冬奥会 美国 名 运动员 参加   项目  比赛 热烈欢迎 ,1
北京 冬奥会 开幕式 年 北京 冬奥 开幕式  封神 美国   说不来 还来  ,0
约 巧巧 四年    意大利  冬奥 巧巧以 疫情   拒绝  ,0
北京 冬 奥组委 疫情 防控 办公室 副 主任 黄春  月 日 北京 冬 奥组委 赛事  新闻 发布会  答南  记者 提问 时  新冠 病毒感染者  隔离  住院 期间 无症状  轻症 人员   自愈  重症 患者  予以 对症 治疗   病例 中 绝大多数   药物 治疗,0
 年  冬奥  疫情 变得 说不出来  有意思,1
中国 超越 美国 跻身 冬奥 奖牌榜 前 三   做梦  没想到 赛场 内外 双输,1
杂杂  杂 舍不得 羽生 结弦 舍不得 短道 速滑 舍不得 冬奥 舍不得  冬天   疫情  更好 ,-1
草原 中油  中国 石油 推出 冬奥 卡   中国 奥运健儿 加油  call ミ ミ ミ ミ ミ ミ ミ ミ i ヽ ノ L 中国 石油 呼和浩特 销售 分公司  微博 视频,1
冬奥  美国 好多 选手 哈哈哈 哈哈 这是  国家  认真 ,1
 张图   创意  编加 鸡腿 冬奥 立春 告别 寒冬 迎来 暖春 祝愿 伟大祖国 繁荣昌盛 奥运健儿 取得胜利 疫情 早早 退去,1
我操 k 宝    事 女单 周期 本来  短  冬奥 错过    下次 ,-1
冰墩 墩 雪容融 亮相 儿童 音乐剧 舞台  北京 冬奥 助力 O 冰墩 墩 雪容融 亮相 儿童 音乐剧 舞台  北京 冬奥 助力,1
联播  运动员  中心 跟着 总书记 共襄 冬奥 盛会 新冠 肺炎 疫情 暴发  北京 冬奥会  首个  举办  全球 综合性 体育 盛会  全球 疫情 稳定  防控 形势   冬奥会 面临  挑战 O 联播  运动员  中心 跟着 总书记 共襄 冬奥 盛会,0
非同凡响  成功 一届 冬奥   未来,1
 春日 冬奥 开 立于 足下 春向 未来 今日 立春 愿 疫情 早点 结束 愿 春天  好消息 如约  ,1
 冬奥 闭幕式   丁程鑫 活蹦乱跳  小丁心 软软  交  好多 新 朋友 ,1
王源 冬奥 播报 预告 视频 哇塞 我源  厉害,1
今日 立春 冬奥 开幕 立春 踏青,0
疫情 欠  演唱会     谢邀 去年    开 演唱会  别问 可不可以  说 愿不愿意   愿意 做好 疫情 防控 安排 余人次 维持秩序 安装 度 全场 环绕  顶级 音响 邀请 冬奥 开幕式 舞美 团队 合作    部门 审批  烟火 秀    开 一场  华晨 宇 火星 演唱会  全国 顶尖  演唱,1
总会  地上  生灵  直面 冬奥  威光,0
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战  肖战   北京 冬奥 加油,1
肖战 肖战 期待 冬奥 赛场    抹 中国 红 ,1
染成 黑头发  blackhairYYDS  中国 冬奥 健儿 加油,1
爱 运动 中国  安踏 今晚  冬奥,0
爱 运动 中国  安踏 wyb 青年 演员 王一博 力 国货 点赞  冬奥 加油 酷黑 运动 造型  一博 太帅     安踏 全球 代言人   冬奥 助力 加油,1
肖战 肖战 期待 冬奥 赛场    抹 中国 红 肖战 期待 冬奥 赛场    抹 中国 红 肖战 肖战 肖战  喜欢    错过 朝阳 错过 落日      错过 星尘  宇宙  披风    宇宙 中  美好  生命体 ᵀ ᴴ ᴱ ᴮ ᴱ ˢ ᵀ ᴵ ˢ ᶠ ᴼ ᴿ ᵞ ᴼ ᵁ 人间 真的 太   探头      乖乖 缩回  心间  借着        从未见过  世界  喜欢 肖战 肖战 顺顺利利 肖战  喜欢 ,1
被安贤洙 冬奥 VLOG 整 破防  日晚,1
羽生 结弦 北京 冬奥 表演 滑 春天    听 风吟 静待 花开   羽生 结弦   冰上 王子,1
相对论 冬奥 丨 霍启刚 我要  回 看谷 爱凌  比赛 O 相对论 冬奥 丨 霍启刚 我要  回 看谷 爱凌  比赛,0
花样滑冰 表演 滑 冬奥 播 棒子  歌 解说  拉  俄罗斯 三套 娃 说 美国  小姑娘   三套 娃 同龄  动作    成熟 解说  说   想 diss,-1
北京 年 冬奥会 冬奥 冰球 男子 冰球 中国 vs 美国  打少  機會,0
男子 冰球 中国 美国 冲突  冲突  干 中美 男冰  门前 发生 小冲突 裁判    分开 先  气势  压住 对手 男子 冰球 中国 vs 美国 逐梦 北京 冬奥,1
海贼王 今日 立春 冬奥 开幕 海贼王   索大,1
ASOUL  懂     点  疫情  冬奥 没法 回去  天天 通勤 小时,-1
北京 冬奥会 开幕式 张艺谋 太 懂 中国   浪漫   国外  冬奥 国旗 配     祖国  音乐 差点    哭,1
龚俊 冬奥 播报  奥运 喝彩  奥运健儿  加油   ,1
冬奥  比赛项目 可真 好看 ,1
冬奥会 闭幕    第一次  冬奥   谷爱凌  比赛 冰墩 墩  买  盲盒    黑 白色,0
肖战 最好   肖战 xz 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 顺顺利利 肖战 平安 喜乐 肖战 万事 顺意 肖战正 能量 偶像 肖战 优秀青年 演员 肖战 三观 正 肖战 温柔 善良 勇敢 肖战 未来  期 肖战  喜欢 ,1
加拿大 队服 安道尔  冰岛 老乡    高山 滑雪 运动员    各类 热 搜笑  不行      放大镜   冬奥 开幕式  说 实在  开幕式      感动 包括     参赛 运动员  参赛国     明白  奥运 精神  意义  祝  参赛 运动员  拿到  成绩 愿 世界 和平,1
冰墩 墩 雪容融  双 叒 叕 卡门 冬奥 吉祥物 顶流 冰墩 墩 雪容融 发现 地上  垃圾 争着  捡 双双 卡门 真的 好萌 好萌  L 星 娱剧 安利  微博 视频,1
声入 人心  想 问  姐妹  冬奥 入场式 美国队    背景音乐 曲子   放    两遍    第一遍    耳熟 听歌 识曲  找 不到 感觉    游戏  动画 里 听 ,0
曝 我心 飞扬  定档 希望 国外        跑步 拳击 滑板    国外 拍  夏季 运动 电影 中国 体育 电影 真的     冬奥 作 题材   冬奥  冬季运动  感兴趣,0
祖国 繁荣富强 冬奥 落幕 世界 大团结 世界 和平 疫情 退散 祈愿 所有人  平安 喜乐 万事 顺意 幸福 安康 L 一间 解忧 杂货店  微博 视频,1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油 z 肖战 手绘 雪容融 手绘 雪容融    才华     肖战 祝福 每位 冬奥 运动员   逐梦 冰雪 享受 比赛 圆梦 北京 L 电影频道 融 媒体 中心  微博 视频,1
北京 冬奥 立春 开幕 期待 晚上 八点,1
 鞠婧 祎 唱歌 狠狠心 动  我前 几十分钟    冬奥    鞠姐  买  黑 rs 挨骂 傻  鞠姐  时间 在家   岳父 岳母  冬奥 哪有 时间 看微博  球球 黑子  八婆们 擦亮 眼球   时间段    枪口上 撞 挨  骂 ,-1
北京 冬奥会 开幕式 笑 死 美国   冬奥       带上 俩 殖民地     美国   殖民地 人权  脑补   殖民地 小哥  冬奥会 裸体 出镜  世界 呼吁 独立  戏,-1
粤港澳 小小 胖 冬奥 落幕 乌克兰 危机 后唐 湘龙 唯我独尊  美国   L 粤港澳 小小 胖  微博 视频,0
舍得  北京 冬奥 说 再见 确实 舍不得 希望 疫情 早日 退散  球球  球球 ,-1
 是因为  几天    想念 前 几天  天天  柚子 贴 贴   想  冬奥     挽手   难   疫情 隔绝  国界      还好    想到 普通人          自由   春 よ  い 真的  太  力量  希望  一场 表演    期待  相信  春 よ,1
兖车 微 视角 坐  高铁  冬奥  北京 冬奥会 期间 冬奥 列车 每日   开行   公里  时速 连接 北京 延庆 崇礼 三大 赛场 冬奥 列车       黑 科技 从京张 铁路 到京张 高铁 中国 铁路 写下    故事  视频   揭秘 L 中国 铁路  微博 视频,0
北京 冬奥 闭幕式 鸟巢 现场 美国队    骑车  ,0
立春 今日 立春 冬奥 开幕 立春 好久   大雪 转眼  立春 期待  春天 期待 冬奥会 期待 中国 健儿,1
冬奥 结束  年   完  喜庆  事 圆满解决  好好  糟心  事  ,0
北京 冬奥会 春  伊始 冬奥 开幕 战胜  疫情  征战 冬奥  一刻   中国 骄傲 一次次  超越自我 一次次  永不 放弃   运动员  值得  尊敬,1
北京 冬奥 闭幕式 鸟巢 现场 希望 四年    疫情   意大利 旅游,1
北京 年 冬奥会  年初 四 立春  冬奥 开幕 愿 一切顺利 愿 心想事成 今晚  开幕式 ,1
本周 碎片 节日 尾声 新年 收官 冬奥 收官 疫情 收官 makenewdecisions 本周 碎片 碎片 式 Plog,0
联播 丨 习近平  八个 冬奥 之喻 O 联播 丨 习近平  八个 冬奥 之喻,0
北京 冬奥会  开幕 助力 冬奥  护航 红十字  冬奥 同行,1
   磕过 玄彬  孙艺珍  喜欢  孙艺珍    不想    韩国   消息 全是  西八 东西  冬奥   留学生  垃圾 玩意 吐 ,-1
肖战 手绘 雪容 融为 冬奥 健儿 加油 冬奥 健儿 加油 雪容融  可爱 肖战 顺顺利利 平安 喜乐,1
王一博 冬奥 文化 推广 使者 wyb 王一博 陈宇 人民公仆 陈宇 除暴安良 陈宇 极品 帅哥 陈宇 玩枪 高手 陈宇 长腿靓 男 陈宇 短发 酷宝 陈宇 惧 艰险 陈宇    地方  陈宇 应援 心   动 陈宇 无敌 王一博 平安 喜乐,1
肖战 肖战 晒 汤圆 祝  元宵节 快乐 xz 肖战 手绘 雪容 融为 冬奥 健儿 加油 今儿 抖   一位 北京 小爷 北京 小爷 肖战祝  元宵节 快乐,1
美国 立陶宛  参加 冬奥 ,0
张新成  黎语 冰为 冰球队 加油 ZX 张新成  忘记 黎语 冰  冰球 之约 中国 冬奥 健儿 加油 冰球 加油  张新成   中国队 加油,1
肖战 肖战 xz 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战  喜欢  拥抱 长夜  梦 远 月 居于 星空 载  落日余晖 身披 星光 璀璨 浪漫 如期而至       爱   初恋,1
北京 时间 月 日 消息  年 北京 冬奥会  冬奥 村 道 美食 吸引   国外 运动员    冬奥 村里  豆包  饺子    运动员 喜欢  中国 美食 美国 单板 滑雪 运动员 朱 莉娅 马里诺  接受 采访 时   来到 冬奥 村    吃   饺子   山上 训练  回来   吃饺子,0
冬奥 官方 店冰墩 墩 卖光   下次 开售 前能    预告 一点   售罄,-1
王一博 王一博 王一博 青年 演员 王一博     可爱  老头儿 千岁 忧 真的 太萌  王一博 冰雪 运动 推广 大使 wyb 王一博 冬奥 文化 推广 使者 L 一颗  菜 菜瓜  微博 视频,1
北京 冬奥会 闭幕式 记得 年  北京  冬奥会 举办地   朋友 圈里 好多 人发   爱    亲人   北京  冬奥      妈 说 到时候 带你去  没想到 真的   年  疫情    成   说   爱   一块  北京  冬奥  朋友  走   时间 真的     捉摸不透  东西         半个 月      冬奥  奥运健儿 加油    结束   真的  不舍 愿   奥运健儿  健健康康 得偿,1
蔡 徐坤 加盟 星运 电台 冬奥 季 蔡 徐坤  北京 冬奥 加油 幸好 思念 无声 我怕  震耳欲聋,1
希望   疫情 自由 出国  有钱  意大利  米兰  冬奥 顺便去 博肖市 逛逛,1
清晨  好消息  早就 传来 喜报 中国队 获得  冬奥 第九 金  超过 美国 跃居 金牌榜  这是  创造 历史记录  时刻 出乎 太   意料之外 冬奥会   结束  成绩   变动  很大   冬奥 办成  比夏奥  火爆  盛会      闭环 管理 科技 奥运 中国 美食  国 参与 种种 细节   回味无穷   中国 冰雪 运动员   实力 获得 成绩  点赞  祝福   好样  一早  传来  消息 中国 军队 系统 起码  家 野战医院 派出 医疗组 驰援 香港 抗疫 一线 香港 近日 疫情 爆发 确诊 人数 激增 港府 求援 援助    军人 出马  战役 必胜 香港  历史 算是 中华 近代史 兴衰   缩影    具备   代表性   年  事情  洗礼  想   傻   普通人   品味   亲  ,1
